chantype,com_mech,num_procs,num_prod,num_cons,iterations,capacity,is_receiver,rank,byte,byte_indi,time,bandwidth,implementation,node
PT2PT,SPSC,2,1,1,10,4,Consumer,0,65536,65536,0.005610145,0.010879427,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,4,Producer,1,65536,65536,0.005610145,0.010879425,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,4,Consumer,0,131072,131072,0.011116154,0.010981344,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,4,Producer,1,131072,131072,0.011116157,0.010981341,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,4,Consumer,0,262144,262144,0.022187090,0.011003725,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,4,Producer,1,262144,262144,0.022187085,0.011003727,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,4,Consumer,0,524288,524288,0.044326217,0.011015631,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,4,Producer,1,524288,524288,0.044326244,0.011015624,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,4,Consumer,0,1048576,1048576,0.088820391,0.010994801,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,4,Producer,1,1048576,1048576,0.088820367,0.010994804,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,4,Consumer,0,2097152,2097152,0.177455489,0.011006281,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,4,Producer,1,2097152,2097152,0.177455429,0.011006285,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,4,Consumer,0,4194304,4194304,0.355041048,0.011002249,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,4,Producer,1,4194304,4194304,0.355041214,0.011002244,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,4,Consumer,0,8388608,8388608,0.709523230,0.011010915,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,4,Producer,1,8388608,8388608,0.709523563,0.011010910,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,8,Consumer,0,4,4,0.000172261,0.000021626,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,8,Producer,1,4,4,0.000172261,0.000021626,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,8,Consumer,0,8,8,0.000003495,0.002131600,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,8,Producer,1,8,8,0.000003495,0.002131600,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
